,Club,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,Draws,Points,Rank,Possession,passSuccess
0,Manchester United,27,5,80,51,2.0,696,260,16,12,4.0,2.0,64,16,7,100,21,22,0.0,96,446,978,1.0,65,1140,1.0,1,1,17422,90,2417,936,261,6,87,1,0,0
1,Chelsea,25,3,65,63,1.0,605,199,12,10,1.0,1.0,52,13,3,128,21,26,4.0,101,506,917,5.0,952,851,2.0,3,3,17252,91,2154,945,253,10,85,2,0,0
2,Arsenal,24,3,74,55,3.0,627,208,13,14,5.0,1.0,65,9,7,110,15,31,3.0,91,505,878,1.0,687,926,2.0,4,3,18831,92,1946,888,234,11,83,3,0,0
3,Liverpool,21,4,67,45,4.0,686,214,13,7,6.0,2.0,51,16,7,93,18,28,0.0,83,614,1089,3.0,42,1060,2.0,5,4,16360,57,2761,932,237,13,76,4,0,0
4,Everton,19,11,55,40,6.0,474,169,4,13,5.0,4.0,48,7,7,73,14,33,5.0,133,496,816,2.0,783,1006,2.0,4,4,12397,28,2142,877,198,8,65,5,0,0
5,Aston Villa,16,10,71,54,4.0,511,182,11,16,6.0,5.0,55,16,3,115,9,51,4.0,139,461,885,3.0,823,1183,3.0,4,2,11438,30,1982,932,229,12,60,6,0,0
6,Blackburn Rovers,15,10,50,72,6.0,530,185,14,11,5.0,1.0,40,10,3,95,8,48,4.0,116,550,833,3.0,840,1003,1.0,6,4,13650,31,2281,883,196,13,58,7,0,0
7,Portsmouth,16,13,48,55,5.0,559,160,9,4,1.0,1.0,35,13,6,95,16,40,0.0,105,521,963,2.0,136,1029,3.0,4,2,12794,37,2278,663,184,9,57,8,0,0
8,Manchester City,15,13,45,50,2.0,423,143,5,5,2.0,6.0,34,11,3,103,11,53,0.0,151,482,916,2.0,220,819,5.0,4,2,15149,45,2289,695,156,10,55,9,0,0
9,West Ham United,13,15,42,63,4.0,500,154,15,7,0.0,0.0,34,8,3,117,8,50,0.0,142,444,848,0.0,51,978,0.0,6,2,13762,39,2366,910,207,10,49,10,0,0
10,Tottenham Hotspur,11,14,66,51,1.0,555,195,19,12,4.0,1.0,59,7,9,123,9,61,0.0,125,534,960,0.0,166,1053,1.0,1,1,15466,56,2428,994,238,13,46,11,0,0
11,Newcastle United,11,17,45,63,3.0,481,153,10,10,2.0,2.0,34,10,1,102,8,65,0.0,132,553,876,2.0,103,874,2.0,2,2,13947,31,2420,966,209,10,43,12,0,0
12,Middlesbrough,10,16,43,86,1.0,499,152,13,9,4.0,2.0,37,6,6,126,8,53,0.0,136,528,835,1.0,72,1043,3.0,2,2,12200,48,2341,960,219,12,42,13,0,0
13,Wigan Athletic,10,18,34,59,0.0,489,141,11,6,0.0,0.0,28,6,3,137,12,51,0.0,129,531,883,0.0,43,917,0.0,4,2,11684,27,2163,767,186,10,40,14,0,0
14,Sunderland,11,21,36,65,1.0,483,137,7,10,2.0,2.0,31,5,2,75,7,59,0.0,125,650,892,3.0,145,1031,1.0,9,9,12727,19,2244,889,183,6,39,15,0,0
15,Bolton Wanderers,9,19,36,76,5.0,451,149,14,5,7.0,2.0,30,6,2,111,12,54,2.0,145,542,866,4.0,852,1128,4.0,5,5,11854,22,2163,905,208,10,37,16,0,0
16,Fulham,8,18,38,55,1.0,469,154,7,7,2.0,2.0,29,9,3,91,7,60,0.0,119,466,851,2.0,22,938,2.0,5,5,12576,29,2311,849,183,12,36,17,0,0
17,Reading,10,22,41,59,4.0,441,132,10,12,4.0,1.0,35,6,3,60,8,66,0.0,128,452,800,1.0,139,859,1.0,7,3,10431,45,2199,1087,238,6,36,18,0,0
18,Birmingham City,8,19,46,70,3.0,414,143,6,6,6.0,5.0,34,12,1,78,3,62,5.0,143,515,935,3.0,837,1023,1.0,8,8,10630,35,2219,774,193,11,35,19,0,0
19,Derby County,1,29,20,63,3.0,376,116,7,3,2.0,1.0,15,5,2,103,3,89,7.0,129,510,898,2.0,952,976,1.0,4,4,11736,29,2165,804,158,8,11,20,0,0
